wellenlaenge;calibration_factor;laser-signal_dmso;trans_dmso;abs_dmso;rel-abs_dmso;ext_dmso;ext-fac_dmso;laser-signal_etso4;trans_etso4;abs_etso4;rel-abs_etso4;ext_etso4;ext-fac_etso4
1891;0.81;21.00;6.50;14.50;0.69;0.51;72;21;3;18;0.875;0.81;309
1898;0.8125;22;6.5;15.50;0.70;0.529509324;75.10770556;21;2.4375;19;0.906;0.93527467;356.975065
1906;0.818181818;21;6.545454545;14.45;0.69;0.506279483;71.81269269;22;2.454545455;20;0.909;0.952451602;363.5311457
1914;0.8125;115;30.875;84.13;0.73;0.571090874;81.00579774;21;2.4375;19;0.906;0.93527467;356.975065
1921;0.771428571;215;43.97142857;171.03;0.80;0.689267884;97.76849425;95;3.085714286;92;0.886;1.488367894;568.0793489
1928;0.764912281;335;49.71929825;285.28;0.85;0.828519817;117.5205414;195;3.824561404;191;0.982;1.707452973;651.6996082
1936;0.886824324;715;88.68243243;626.32;0.88;0.906468445;128.5770844;435;3.547297297;431;0.993;2.088591669;797.1723927
1943;0.930191972;735;106.9720768;628.03;0.85;0.837016912;118.7258031;510;7.441535777;503;0.986;1.835907602;700.7280924
1950;0.82300885;575;74.07079646;500.93;0.87;0.89002083;126.2440894;565;12.34513274;553;0.973;1.660552684;633.7987342
1957;0.871428571;455;93.24285714;361.76;0.80;0.688395824;97.64479773;335;16.55714286;318;0.946;1.306059411;498.4959584
1964;0.90513834;1365;307.7470356;1057.25;0.77;0.646938773;91.76436499;1145;85.98814229;1059;0.925;1.12436692;429.1476795
1970;0.811965812;775;223.2905983;551.71;0.71;0.540431265;76.65691704;635;73.07692308;562;0.846;0.938993472;358.3944551
1977;0.901907357;1845;649.373297;1195.63;0.65;0.453501945;64.32651696;1655;279.5912807;1375;0.831;0.772274375;294.7612117
1984;0.898477157;1015;399.822335;615.18;0.61;0.404598991;57.38992781;915;193.1725888;722;0.782;0.675475594;257.8151122
1990;0.829181495;1475;642.6156584;832.38;0.56;0.360840717;51.18308038;1275;327.5266904;947;0.719;0.590263488;225.2914076
1997;0.956331878;1195;569.0174672;625.98;0.52;0.322242307;45.70812866;1085;310.8078603;774;0.716;0.542937745;207.2281468
2003;0.905759162;885;443.8219895;441.18;0.50;0.299734455;42.5155255;825;271.7277487;553;0.686;0.482319958;184.091587
2009;0.808510638;345;165.7446809;179.26;0.52;0.318379495;45.1602121;180;52.55319149;127;0.723;0.53467341;204.0738205
2016;0.838709677;21;5.870967742;15.13;0.72;0.553509601;78.51200008;22;2.516129032;19;0.903;0.941689772;359.4235771
2022;0.838709677;22;6.709677419;15.29;0.70;0.51572104;73.15192052;21;2.516129032;18;0.903;0.921486386;351.712361